"CORDOBA C.F., SAD",0 - 0 ,"R.C.RVO. DE HUELVA, SAD"
"GIRONA F.C., SAD",3 - 2 ,"GIMNASTIC DE TARRAGONA, SAD"
REAL MURCIA C.F. SAD,3 - 2 ,C.D. ALCOYANO
"R.C. CELTA DE VIGO, SAD",2 - 0 ,C.D. GUADALAJARA
"ELCHE C.F., SAD",6 - 0 ,A.D. ALCORCON
"U.D. ALMERIA, SAD",3 - 0 ,"C.E. SABADELL F.C., SAD."
"REAL VALLADOLID C.F., SAD",1 - 0 ,F.C. BARCELONA B
"C.D. NUMANCIA DE SORIA, SAD",2 - 1 ,"HERCULES C.F., SAD"
"U.D. LAS PALMAS, SAD",0 - 1 ,"R.C. DEPORTIVO DE LA CORUÑA, SAD"
Resultados Temporada 2011/2012 - Jornada Nº 19 (Fecha: 08/01/2012),,
Equipo Local,Marcador,Equipo Visitante
"CORDOBA C.F., SAD",1 - 0 ,"GIRONA F.C., SAD"
"GIMNASTIC DE TARRAGONA, SAD",0 - 2 ,REAL MURCIA C.F. SAD
C.D. ALCOYANO,0 - 3 ,"R.C. CELTA DE VIGO, SAD"
C.D. GUADALAJARA,2 - 4 ,"ELCHE C.F., SAD"
A.D. ALCORCON,1 - 1 ,"U.D. ALMERIA, SAD"
"C.E. SABADELL F.C., SAD.",1 - 4 ,"REAL VALLADOLID C.F., SAD"
F.C. BARCELONA B,1 - 1 ,"C.D. NUMANCIA DE SORIA, SAD"
"HERCULES C.F., SAD",2 - 1 ,"U.D. LAS PALMAS, SAD"
"R.C. DEPORTIVO DE LA CORUÑA, SAD",2 - 1 ,"XEREZ C.D., S.A.D."
"F.C. CARTAGENA, SAD",2 - 0 ,"S.D. HUESCA, SAD"
"R.C.RVO. DE HUELVA, SAD",3 - 1 ,VILLARREAL C.F. B
Resultados Temporada 2011/2012 - Jornada Nº 20 (Fecha: 15/01/2012),,
Equipo Local,Marcador,Equipo Visitante
"R.C.RVO. DE HUELVA, SAD",3 - 0 ,"GIRONA F.C., SAD"
REAL MURCIA C.F. SAD,2 - 1 ,"CORDOBA C.F., SAD"
"R.C. CELTA DE VIGO, SAD",1 - 0 ,"GIMNASTIC DE TARRAGONA, SAD"
"ELCHE C.F., SAD",1 - 2 ,C.D. ALCOYANO
"U.D. ALMERIA, SAD",4 - 0 ,C.D. GUADALAJARA
"REAL VALLADOLID C.F., SAD",1 - 1 ,A.D. ALCORCON
"C.D. NUMANCIA DE SORIA, SAD",2 - 1 ,"C.E. SABADELL F.C., SAD."
"U.D. LAS PALMAS, SAD",3 - 1 ,F.C. BARCELONA B
"XEREZ C.D., S.A.D.",2 - 1 ,"HERCULES C.F., SAD"
"S.D. HUESCA, SAD",0 - 2 ,"R.C. DEPORTIVO DE LA CORUÑA, SAD"
VILLARREAL C.F. B,0 - 0 ,"F.C. CARTAGENA, SAD"
Resultados Temporada 2011/2012 - Jornada Nº 21 (Fecha: 22/01/2012),,
