Jornada 1,,,,,,
C. E. Sabadell F. C.,2 - 1,Real Murcia C. F.,Nova Creu Alta,,,Esport3
Deportivo Alavés,2 - 2,C. D. Tenerife,Mendizorroza,,18:00,Televisión Canaria
R. C. Deportivo de La Coruña,2 - 0,Real Madrid Castilla C. F.,Riazor,,18:15,LaSexta
S. D. Ponferradina,3 - 1,R. C. Recreativo de Huelva,El Toralín,,21:00,Teledeporte
Jornada 13,,,,,,
Local,Resultado,Visitante,Estadio,Fecha,Hora,Directo TV
"F. C. Barcelona ""B""",0 - 3,Real Jaén C. F.,Mini Estadi,9 de noviembre,18:00,Esport3
C. D. Lugo,1 - 1,Real Murcia C. F.,Anxo Carro,,,TVG
Real Zaragoza,1 - 2,C. D. Numancia de Soria,La Romareda,,18:15,LaSexta
A. D. Alcorcón,0 - 0,Córdoba C. F.,Santo Domingo,,19:00,Teledeporte
Hércules C. F.,2 - 1,U. D. Las Palmas,José Rico Pérez,,20:00,Televisión Canaria
R. C. Recreativo de Huelva,0 - 1,R. C. Deportivo de La Coruña,Nuevo Colombino,10 de noviembre,12:00,Canal+ 1
C. D. Mirandés,1 - 2,Girona F. C.,Anduva,,17:00,TBA
Real Sporting de Gijón,3 - 1,C. E. Sabadell,El Molinón,,,Esport3
R. C. D. Mallorca,2 - 2,S. D. Ponferradina,Iberostar Estadio,,,TBA
C. D. Tenerife,2 - 0,S. D. Eibar,Heliodoro Rodríguez López,,18:00,Televisión Canaria
Real Madrid Castilla C. F.,1 - 0,Deportivo Alavés,Alfredo di Stéfano,,18:15,LaSexta
,,,,,Jornada 14,
Local,Resultado,Visitante,Estadio,Fecha,Hora,Directo TV
S. D. Ponferradina,0 - 2,C. D. Lugo,El Toralín,16 de noviembre,18:00,TVG
Deportivo Alavés,3 - 3,R. C. Recreativo de Huelva,Mendizorroza,,,ETB
Girona F. C.,1 - 2,"F. C. Barcelona ""B""",Municipal de Montilivi,,,Esport3
Real Murcia C. F.,1 - 1,Real Sporting de Gijón,Nueva Condomina,,,Telecable
Real Jaén C. F.,3 - 0,Real Zaragoza,La Victoria,,18:15,LaSexta
U. D. Las Palmas,3 - 1,C. D. Mirandés,Gran Canaria,,20:00,Televisión Canaria
C. E. Sabadell F. C.,1 - 2,A. D. Alcorcón,Nova Creu Alta,,,Esport3
R. C. Deportivo de La Coruña,3 - 1,R. C. D. Mallorca,Riazor,17 de noviembre,12:00,Canal+ 1
C. D. Numancia de Soria,0 - 0,C. D. Tenerife,Los Pajaritos,,18:00,Televisión Canaria
S. D. Eibar,6 - 0,Real Madrid Castilla C. F.,Ipurúa,,18:15,LaSexta
Córdoba C. F.,4 - 2,Hércules C. F.,Nuevo Arcángel,,21:00,Teledeporte
Jornada 15,,,,,,
Local,Resultado,Visitante,Estadio,Fecha,Hora,Directo TV
R. C. D. Mallorca,2 - 1,Deportivo Alavés,Iberostar Estadio,23 de noviembre,18:00,ETB
"F. C. Barcelona ""B""",1 - 2,U. D. Las Palmas,Mini Estadi,,,TV Canaria y Esport3
Real Madrid Castilla C. F.,0 - 0,C. D. Numancia de Soria,Alfredo di Stéfano,,18:15,LaSexta
C. D. Lugo,1 - 3,Real Sporting de Gijón,Anxo Carro,24 de noviembre,12:00,Canal+ 1
C. D. Mirandés,3 - 1,Córdoba C. F.,Anduva,,17:00,TBA
Real Zaragoza,1 - 0,Girona F. C.,La Romareda,,,Esport3
Hércules C. F.,3 - 0,C. E. Sabadell F. C.,José Rico Pérez,,,TBA
R. C. Recreativo de Huelva,1 - 2,S. D. Eibar,Nuevo Colombino,,,TBA
C. D. Tenerife,2 - 1,Real Jaén C. F.,Heliodoro Rodríguez López,,18:00,Televisión Canaria
S. D. Ponferradina,0 - 1,R. C. Deportivo de La Coruña,El Toralín,,18:15,LaSexta
A. D. Alcorcón,0 - 0,Real Murcia C. F.,Santo Domingo,,21:00,Teledeporte
Jornada 16,,,,,,
Local,Resultado,Visitante,Estadio,Fecha,Hora,Directo TV
S. D. Eibar,0 - 1,R. C. D. Mallorca,Ipurua,30 de noviembre,18:00,ETB
Córdoba C. F.,1 - 2,"F. C. Barcelona ""B""",Nuevo Arcángel,,,Esport3
R. C. Deportivo de La Coruña,0 - 0,C. D. Lugo,Riazor,,18:15,LaSexta
U. D. Las Palmas,0 - 1,Real Zaragoza,Gran Canaria,,20:00,Televisión Canaria
Real Murcia C. F.,1 - 2,Hércules C. F.,Nueva Condomina,1 de diciembre,12:00,Canal+ 1
Girona F. C.,2 - 2,C. D. Tenerife,Montilivi,,17:00,Esport3 y TV Canaria
Real Sporting de Gijón,2 - 2,A. D. Alcorcón,El Molinón,,,Telecable
C. E. Sabadell F. C.,3 - 1,C. D. Mirandés,Nova Creu Alta,,,TBA
Deportivo Alavés,2 - 2,S. D. Ponferradina,Mendizorroza,,,TBA
Real Jaén C. F.,0 - 1,Real Madrid Castilla C. F.,La Victoria,,18:15,LaSexta
C. D. Numancia de Soria,2 - 3,R. C. Recreativo de Huelva,Los Pajaritos,,21:00,Teledeporte
Jornada 17,,,,,,
Local,Resultado,Visitante,Estadio,Fecha,Hora,Directo TV
Real Madrid Castilla C. F.,3 - 2,Girona F. C.,Alfredo di Stéfano,4 de diciembre,20:00,Esport3
C. D. Lugo,1 - 2,A. D. Alcorcón,Anxo Carro,,,TVG
C. D. Tenerife,3 - 0,U. D. Las Palmas,Heliodoro Rodríguez López,,21:00,Canal+ 1
R. C. Recreativo de Huelva,1 - 1,Real Jaén C. F.,Nuevo Colombino,,,TBA
Hércules C. F.,0 - 1,Real Sporting de Gijón,Rico Pérez,7 de diciembre,18:00,Telecable
"F. C. Barcelona ""B""",2 - 0,C. E. Sabadell F. C.,Mini Estadi,,,Esport3
R. C. Deportivo de La Coruña,2 - 1,Deportivo Alavés,Riazor,,18:15,LaSexta
R. C. D. Mallorca,0 - 0,C. D. Numancia de Soria,Iberostar Estadio,8 de diciembre,17:00,TBA
C. D. Mirandés,1 - 1,Real Murcia C. F.,Anduva,,,TBA
Real Zaragoza,2 - 1,Córdoba C. F.,La Romareda,,18:15,LaSexta
S. D. Ponferradina,2 - 1,S. D. Eibar,El Toralín,,21:00,Teledeporte
Jornada 18,,,,,,
Local,Resultado,Visitante,Estadio,Fecha,Hora,Directo TV
Deportivo Alavés,2 - 1,C. D. Lugo,Mendizorroza,14 de diciembre,18:00,ETB y TVG
C. E. Sabadell F. C.,1 - 0,Real Zaragoza,Nova Creu Alta,,,Esport3
A. D. Alcorcón,0 - 2,Hércules C. F.,Santo Domingo,,18:15,LaSexta
Girona F. C.,1 - 1,R. C. Recreativo de Huelva,Municipal de Montilivi,,20:00,Esport3
U. D. Las Palmas,0 - 2,Real Madrid Castilla C. F.,Gran Canaria,,,Televisión Canaria
C. D. Numancia de Soria,2 - 0,S. D. Ponferradina,Los Pajaritos,,21:00,Teledeporte
S. D. Eibar,2 - 1,R. C. Deportivo de La Coruña,Ipurúa,15 de diciembre,12:00,Canal+ 1
Real Murcia C. F.,3 - 1,"F. C. Barcelona ""B""",Nueva Condomina,,17:00,Esport3
Real Sporting de Gijón,3 - 2,C. D. Mirandés,El Molinón,,,Telecable
Córdoba C. F.,1 - 0,C. D. Tenerife,Nuevo Arcángel,,18:00,Televisión Canaria
Real Jaén C. F.,2 - 1,R. C. D. Mallorca,La Victoria,,18:15,La Sexta
Jornada 19,,,,,,
Local,Resultado,Visitante,Estadio,Fecha,Hora,Directo TV
C. D. Lugo,1 - 3,Hércules C. F.,Anxo Carro,21 de diciembre,17:00,TBA
Deportivo Alavés,0 - 2,S. D. Eibar,Mendizorroza,,18:00,ETB
R. C. Deportivo de La Coruña,3 - 3,C. D. Numancia de Soria,Riazor,,,TVG
