Jornada 1,,,,,,,,,,,
Barcelona,5 - 0,,Real Madrid,,Camp Nou,,29 de noviembre,,21:00,,Gol T / C+ Liga
Jornada 14,,,,,,,,,,,
Local,Resultado,,Visitante,,Estadio,,Fecha,,Hora,,Directo TV
Levante,2 - 0,,At. Madrid,,Ciutat de València,,4 de diciembre,,18:00,,Gol T / C+ Liga
Osasuna,0 - 3,,Barcelona,,Reyno de Navarra,,,,20:45,,Gol T / C+ Liga
Real Madrid,2 - 0,,Valencia,,Santiago Bernabéu,,,,22:00,,laSexta / TM / IB3 / TV3 / TPA7
Getafe,3 - 0,,Mallorca,,Coliseum Alfonso Pérez,,5 de diciembre,,17:00,,Taquilla 5
Almería,1 - 1,,Zaragoza,,Juegos Mediterráneos,,,,,,Taquilla 6
Espanyol,1 - 0,,Sporting,,Cornellà-El Prat,,,,,,Taquilla 7
Málaga,4 - 1,,Racing,,La Rosaleda,,,,,,Taquilla 8
Villarreal,1 - 0,,Sevilla,,El Madrigal,,,,19:00,,Gol T / C+ Liga
Real Sociedad,2 - 0,,Athletic,,Anoeta,,,,21:00,,Canal+
Deportivo,1 - 0,,Hércules,,Riazor,,6 de diciembre,,21:00,,Gol T / Taquilla 8
Jornada 15,,,,,,,,,,,
Local,Resultado,,Visitante,,Estadio,,Fecha,,Hora,,Directo TV
Getafe,1 - 0,,Villarreal,,Coliseum Alfonso Pérez,,11 de diciembre,,18:00,,Gol T / C+ Liga
Sevilla,1 - 3,,Almería,,Ramón Sánchez Pizjuán,,,,20:00,,Gol T / C+ Liga
At. Madrid,2 - 0,,Deportivo,,Vicente Calderón,,,,22:00,,laSexta / TM / TPA7 / TV3 / IB3
Sporting,1 - 1,,Levante,,El Molinón,,12 de diciembre,,17:00,,Taquilla 5
Hércules,4 - 1,,Málaga,,José Rico Pérez,,,,,,Taquilla 6
Mallorca,0 - 1,,Racing,,Iberostar Estadi,,,,,,Taquilla 7
Athletic,2 - 1,,Espanyol,,San Mamés,,,,,,Taquilla 8
Zaragoza,1 - 3,,Real Madrid,,La Romareda,,,,19:00,,Gol T / C+ Liga
Barcelona,5 - 0,,Real Sociedad,,Camp Nou,,,,21:00,,Canal+
Valencia,3 - 3,,Osasuna,,Mestalla,,13 de diciembre,,21:00,,Gol T / Taquilla 8
Jornada 16,,,,,,,,,,,
Local,Resultado,,Visitante,,Estadio,,Fecha,,Hora,,Directo TV
Villarreal,3 - 1,,Mallorca,,El Madrigal,,18 de diciembre,,18:00,,Gol T / C+ Liga
Levante,1 - 2,,Athletic,,Ciutat de València,,,,,,Taquilla 7
Deportivo,1 - 1,,Sporting,,Riazor,,,,,,Taquilla 8
Espanyol,1 - 5,,Barcelona,,Cornellà-El Prat,,,,20:00,,Gol T / C+ Liga
Real Sociedad,1 - 2,,Valencia,,Anoeta,,,,22:00,,laSexta / IB3 / TV3 / TM / TPA7
Almería,2 - 3,,Getafe,,Juegos Mediterráneos,,19 de diciembre,,17:00,,Taquilla 7
Osasuna,0 - 0,,Zaragoza,,Reyno de Navarra,,,,,,Taquilla 8
Málaga,0 - 3,,At. Madrid,,La Rosaleda,,,,19:00,,Gol T / C+ Liga
Real Madrid,1 - 0,,Sevilla,,Santiago Bernabéu,,,,21:00,,Canal+
Racing,0 - 0,,Hércules,,El Sardinero,,20 de diciembre,,21:00,,Gol T / Taquilla 8
Jornada 17,,,,,,,,,,,
Local,Resultado,,Visitante,,Estadio,,Fecha,,Hora,,Directo TV
Athletic,1 - 2,,Deportivo,,San Mamés,,2 de enero,,16:00,,Gol T / C+ Liga
Barcelona,2 - 1,,Levante,,Camp Nou,,,,18:00,,Gol T / C+ Liga
Sporting,1 - 2,,Málaga,,El Molinón,,,,,,Taquilla 6
Sevilla,1 - 0,,Osasuna,,Ramón Sánchez Pizjuán,,,,20:00,,Gol T / Taquilla 7
Valencia,2 - 1,,Espanyol,,Mestalla,,,,22:00,,laSexta / TV3 / IB3 / TM / TPA7
Villarreal,2 - 0,,Almería,,El Madrigal,,3 de enero,,20:00,,Taquilla 5
Zaragoza,2 - 1,,Real Sociedad,,La Romareda,,,,,,Taquilla 6
At. Madrid,0 - 0,,Racing,,Vicente Calderón,,,,,,Canal+
Mallorca,3 - 0,,Hércules,,Iberostar Estadi,,,,,,Taquilla 7
Getafe,2 - 3,,Real Madrid,,Coliseum Alfonso Pérez,,,,22:00,,Gol T / C+ Liga
Jornada 18,,,,,,,,,,,
Local,Resultado,,Visitante,,Estadio,,Fecha,,Hora,,Directo TV
Málaga,1 - 1,,Athletic,,La Rosaleda,,8 de enero,,18:00,,Gol T / C+ Liga
Real Sociedad,2 - 3,,Sevilla,,Anoeta,,,,20:00,,Gol T / C+ Liga
Deportivo,0 - 4,,Barcelona,,Riazor,,,,22:00,,laSexta / TV3 / IB3 / TM / TPA7
Mallorca,4 - 1,,Almería,,Iberostar Estadi,,9 de enero,,17:00,,Taquilla 5
Osasuna,0 - 0,,Getafe,,Reyno de Navarra,,,,,,Taquilla 6
Espanyol,4 - 0,,Zaragoza,,Cornellà-El Prat,,,,,,Taquilla 7
Racing,1 - 1,,Sporting,,El Sardinero,,,,,,Taquilla 8
Real Madrid,4 - 2,,Villarreal,,Santiago Bernabéu,,,,19:00,,Gol T / C+ Liga
Levante,0 - 1,,Valencia,,Ciutat de València,,,,21:00,,Canal+
Hércules,4 - 1,,At. Madrid,,José Rico Pérez,,10 de enero,,21:00,,Gol T / Taquilla 8
Jornada 19,,,,,,,,,,,
Local,Resultado,,Visitante,,Estadio,,Fecha,,Hora,,Directo TV
Villarreal,4 - 2,,Osasuna,,El Madrigal,,15 de enero,,18:00,,Taquilla 5
Getafe,0 - 4,,Real Sociedad,,Coliseum Alfonso Pérez,,,,,,Taquilla 6
Zaragoza,1 - 0,,Levante,,La Romareda,,,,,,Taquilla 7
Sporting,2 - 0,,Hércules,,El Molinón,,,,,,Taquilla 8
Athletic,2 - 1,,Racing,,San Mamés,,,,20:00,,Gol T / C+ Liga
Sevilla,1 - 2,,Espanyol,,Ramón Sánchez Pizjuán,,,,22:00,,laSexta / TV3 / TM / IB3 / TPA7
Valencia,2 - 0,,Deportivo,,Mestalla,,16 de enero,,17:00,,Gol T / C+ Liga
Almería,1 - 1,,Real Madrid,,Juegos Mediterráneos,,,,19:00,,Gol T / C+ Liga
Barcelona,4 - 1,,Málaga,,Camp Nou,,,,21:00,,Canal+
At. Madrid,3 - 0,,Mallorca,,Vicente Calderón,,17 de enero,,21:00,,Gol T / Taquilla 8
Jornada 20,,,,,,,,,,,
Local,Resultado,,Visitante,,Estadio,,Fecha,,Hora,,Directo TV
Sevilla,4 - 1,,Levante,,Ramón Sánchez Pizjuán,,22 de enero,,18:00,,Gol T / C+ Liga
Barcelona,3 - 0,,Racing,,Camp Nou,,,,20:00,,Gol T / C+ Liga
Valencia,4 - 3,,Málaga,,Mestalla,,,,22:00,,laSexta / IB3 / TM / TV3 / TPA7
Sporting,1 - 0,,At. Madrid,,El Molinón,,23 de enero,,17:00,,Taquilla 5
Zaragoza,1 - 0,,Deportivo,,La Romareda,,,,,,Taquilla 6
Getafe,1 - 3,,Espanyol,,Coliseum Alfonso Pérez,,,,,,Taquilla 7
Almería,3 - 2,,Osasuna,,Juegos Mediterráneos,,,,,,Taquilla 8
Real Madrid,1 - 0,,Mallorca,,Santiago Bernabéu,,,,19:00,,Gol T / C+ Liga
Villarreal,2 - 1,,Real Sociedad,,El Madrigal,,,,21:00,,Canal+
Athletic,3 - 0,,Hércules,,San Mamés,,24 de enero,,21:00,,Gol T / Taquilla 8
Jornada 21,,,,,,,,,,,
Local,Resultado,,Visitante,,Estadio,,Fecha,,Hora,,Directo TV
Mallorca,0 - 4,,Sporting,,Iberostar Estadi,,29 de enero,,18:00,,Taquilla 5
Málaga,1 - 2,,Zaragoza,,La Rosaleda,,,,,,Taquilla 6
Levante,2 - 0,,Getafe,,Ciutat de València,,,,,,Taquilla 7
Real Sociedad,2 - 0,,Almería,,Anoeta,,,,,,Taquilla 8
Hércules,0 - 3,,Barcelona,,José Rico Pérez,,,,20:00,,Gol T / C+ Liga
Deportivo,3 - 3,,Sevilla,,Riazor,,,,22:00,,laSexta / TM / TPA7 / TV3 / IB3
At. Madrid,0 - 2,,Athletic,,Vicente Calderón,,30 de enero,,17:00,,Gol T / C+ Liga
