Jornada 1,,,,,,
Albacete,0 - 1,Nàstic,Carlos Belmonte,,,CMT / El 33
Rayo Vallecano,3 - 1,FC Cartagena,Teresa Rivero,,,LaOtra / 7RM
Celta de Vigo,1 - 1,Xerez CD,Balaídos,,,tvG2 / CS2 / TVC / C9 2 / ETB 1
UD Las Palmas,0 - 1,Córdoba CF,Gran Canaria,,,
UD Salamanca,2 - 3,FC Barcelona B,Helmántico,,,Gol T / C+ Liga
Elche CF,0 - 0,Granada CF,Martínez Valero,16 de enero,12:00,Canal+
Recreativo,2 - 0,Villarreal B,Nuevo Colombino,,17:00,
SD Ponferradina,1 - 1,CD Tenerife,El Tolarín,,,
Jornada 21,,,,,,
Local,Resultado,Visitante,Estadio,Fecha,Hora,Directo TV
Xerez CD,0 - 0,Elche CF,Chapín,21 de enero,21:00,Gol T / C+ Liga
AD Alcorcón,1 - 0,Valladolid,Santo Domingo,22 de enero,16:00,Marca TV
Granada CF,2 - 1,Recreativo,Nuevo Los Cármenes,,18:00,CS2
Villarreal B,1 - 0,Real Betis,Ciudad Deportiva,,,C9 2 / ETB 1
SD Huesca,1 - 0,Albacete,El Alcoraz,,,ATV / CMT
FC Barcelona B,1 - 2,Rayo Vallecano,Mini Estadi,,,El 33 / LaOtra / TVC
FC Cartagena,0 - 4,Celta de Vigo,Cartagonova,,,7RM / tvG2
CD Tenerife,1 - 1,UD Las Palmas,Heliodoro Rodríguez López,23 de enero,12:00,Canal+
Nàstic,0 - 0,SD Ponferradina,Nou Estadi,,17:00,
Córdoba CF,1 - 1,Girona FC,Nuevo Arcángel,,,
CD Numancia,3 - 2,UD Salamanca,Los Pajaritos,,,Gol T / C+ Liga
Jornada 22,,,,,,
Local,Resultado,Visitante,Estadio,Fecha,Hora,Directo TV
AD Alcorcón,2 - 0,Albacete,Santo Domingo,28 de enero,21:00,Gol T / C+ Liga
Recreativo,0 - 0,Elche CF,Nuevo Colombino,29 de enero,16:00,Marca TV
FC Cartagena,1 - 2,Xerez CD,Cartagonova,,18:00,7RM / CS2
FC Barcelona B,1 - 1,Celta de Vigo,Mini Estadi,,,El 33 / tvG2 / ETB 1
CD Numancia,0 - 3,Rayo Vallecano,Los Pajaritos,,,LaOtra
Córdoba CF,2 - 0,UD Salamanca,Nuevo Arcángel,,,Gol T / C+ Liga
Nàstic,0 - 0,UD Las Palmas,Nou Estadi,,,TVC
SD Huesca,1 - 0,SD Ponferradina,El Alcoraz,,,ATV
Villarreal B,2 - 0,Valladolid,Ciudad Deportiva,,,C9 2
Granada CF,3 - 0,Real Betis,Nuevo Los Cármenes,30 de enero,12:00,Canal+
CD Tenerife,3 - 3,Girona FC,Heliodoro Rodríguez López,,18:00,
Jornada 23,,,,,,
Local,Resultado,Visitante,Estadio,Fecha,Hora,Directo TV
Xerez CD,1 - 0,FC Barcelona B,Chapín,4 de febrero,21:00,Gol T / C+ Liga
Valladolid,2 - 3,Granada CF,José Zorrilla,5 de febrero,16:00,Marca TV
Elche CF,1 - 2,FC Cartagena,Martínez Valero,,18:00,7RM
Rayo Vallecano,4 - 2,Córdoba,Teresa Rivero,,,LaOtra / CS2 / tvG2 / ETB 1
UD Salamanca,1 - 2,CD Tenerife,Helmántico,,,TVC
Girona FC,2 - 1,Nàstic,Montilivi,,,El 33
UD Las Palmas,1 - 1,SD Huesca,Gran Canaria,,,
Albacete,0 - 2,Villarreal B,Carlos Belmonte,,,CMT / C9 2
Real Betis,0 - 1,Recreativo,Benito Villamarín,6 de febrero,12:00,Canal+
SD Ponferradina,1 - 2,AD Alcorcón,El Toralín,,17:00,
Celta de Vigo,4 - 0,CD Numancia,Balaídos,7 de febrero,21:00,Gol T / C+ Liga
Jornada 24,,,,,,
Local,Resultado,Visitante,Estadio,Fecha,Hora,Directo TV
Granada CF,3 - 0,Albacete,Nuevo Los Cármenes,11 de febrero,21:00,Gol T / C+ Liga
FC Barcelona B,3 - 0,FC Cartagena,Mini Estadi,12 de febrero,16:00,Marca TV
CD Numancia,3 - 0,Xerez CD,Los Pajaritos,,18:00,
SD Huesca,0 - 1,Girona FC,El Alcoraz,,,ATV / Esport3
AD Alcorcón,5 - 0,UD Las Palmas,Santo Domingo,,,LaOtra / TVC
