C.D. ALCOYANO,0 - 1 ,REAL VALLADOLID C.F.
GIMNASTIC DE TARRAGONA,1 - 2 ,U.D. ALMERIA
CORDOBA C.F.,2 - 0 ,ELCHE C.F.
GIRONA F.C.,0 - 1 ,R.C. CELTA DE VIGO
REAL MURCIA C.F. SAD,0 - 3 ,R.C.RVO. DE HUELVA
Jornada 23 (Fecha: 05/02/2012),,
Local,Marcador,Visitante
R.C.RVO. DE HUELVA,0 - 1 ,R.C. DEPORTIVO DE LA CORUÑA
F.C. CARTAGENA,0 - 3 ,HERCULES C.F.
VILLARREAL C.F. B,0 - 0 ,F.C. BARCELONA B
S.D. HUESCA,0 - 0 ,C.E. SABADELL F.C..
XEREZ C.D. S.A.D.,2 - 2 ,A.D. ALCORCON
U.D. LAS PALMAS,3 - 2 ,C.D. GUADALAJARA
C.D. NUMANCIA DE SORIA,2 - 0 ,C.D. ALCOYANO
REAL VALLADOLID C.F.,4 - 0 ,GIMNASTIC DE TARRAGONA
U.D. ALMERIA,2 - 1 ,CORDOBA C.F.
ELCHE C.F.,1 - 0 ,GIRONA F.C.
R.C. CELTA DE VIGO,1 - 0 ,REAL MURCIA C.F. SAD
Jornada 22 (Fecha: 29/01/2012),,
Local,Marcador,Visitante
R.C. DEPORTIVO DE LA CORUÑA,2 - 1 ,F.C. CARTAGENA
HERCULES C.F.,0 - 2 ,VILLARREAL C.F. B
F.C. BARCELONA B,4 - 2 ,S.D. HUESCA
C.E. SABADELL F.C..,2 - 0 ,XEREZ C.D. S.A.D.
A.D. ALCORCON,3 - 1 ,U.D. LAS PALMAS
C.D. GUADALAJARA,1 - 0 ,C.D. NUMANCIA DE SORIA
C.D. ALCOYANO,0 - 1 ,REAL VALLADOLID C.F.
GIMNASTIC DE TARRAGONA,1 - 2 ,U.D. ALMERIA
CORDOBA C.F.,2 - 0 ,ELCHE C.F.
GIRONA F.C.,0 - 1 ,R.C. CELTA DE VIGO
REAL MURCIA C.F. SAD,0 - 3 ,R.C.RVO. DE HUELVA
Jornada 23 (Fecha: 05/02/2012),,
Local,Marcador,Visitante
R.C.RVO. DE HUELVA,0 - 1 ,R.C. DEPORTIVO DE LA CORUÑA
F.C. CARTAGENA,0 - 3 ,HERCULES C.F.
VILLARREAL C.F. B,0 - 0 ,F.C. BARCELONA B
S.D. HUESCA,0 - 0 ,C.E. SABADELL F.C..
XEREZ C.D. S.A.D.,2 - 2 ,A.D. ALCORCON
U.D. LAS PALMAS,3 - 2 ,C.D. GUADALAJARA
C.D. NUMANCIA DE SORIA,2 - 0 ,C.D. ALCOYANO
REAL VALLADOLID C.F.,4 - 0 ,GIMNASTIC DE TARRAGONA
U.D. ALMERIA,2 - 1 ,CORDOBA C.F.
ELCHE C.F.,1 - 0 ,GIRONA F.C.
R.C. CELTA DE VIGO,1 - 0 ,REAL MURCIA C.F. SAD
Jornada 26 (Fecha: 26/02/2012),,
Local,Marcador,Visitante
F.C. BARCELONA B,0 - 1 ,HERCULES C.F.
C.E. SABADELL F.C..,1 - 0 ,R.C. DEPORTIVO DE LA CORUÑA
A.D. ALCORCON,1 - 0 ,F.C. CARTAGENA
C.D. GUADALAJARA,0 - 2 ,VILLARREAL C.F. B
C.D. ALCOYANO,0 - 3 ,S.D. HUESCA
GIMNASTIC DE TARRAGONA,0 - 1 ,XEREZ C.D. S.A.D.
CORDOBA C.F.,1 - 0 ,U.D. LAS PALMAS
GIRONA F.C.,2 - 0 ,C.D. NUMANCIA DE SORIA
REAL MURCIA C.F. SAD,2 - 0 ,REAL VALLADOLID C.F.
R.C. CELTA DE VIGO,4 - 3 ,U.D. ALMERIA
ELCHE C.F.,0 - 3 ,R.C.RVO. DE HUELVA
Jornada 27 (Fecha: 04/03/2012),,
Local,Marcador,Visitante
